Value for threshold delta,"COUNTING mit Epsilon=0.01,COUNTING mit Epsilon=0.001,COUNTING mit Epsilon=0.00010"
0.328,"4,4,4"
0.329,"4,4,4"
0.330,"4,4,4"
0.331,"4,4,4"
0.332,"4,4,4"
0.333,"4,4,4"
0.334,"4,4,4"
0.335,"4,4,4"
0.336,"4,4,4"
0.337,"4,4,4"
0.338,"4,4,4"
0.339,"4,4,4"
0.340,"4,4,4"
0.341,"4,4,4"
0.342,"4,4,4"
0.343,"4,4,4"
0.344,"4,4,4"
0.345,"4,4,4"
0.346,"4,4,4"
0.347,"4,4,4"
0.348,"4,4,4"
0.349,"4,4,4"
0.350,"4,4,4"
0.351,"4,4,4"
0.352,"4,4,4"
0.353,"4,4,4"
0.354,"4,4,4"
0.355,"4,4,4"
0.356,"4,4,4"
0.357,"4,4,4"
0.358,"4,4,4"
0.359,"4,4,4"
0.360,"4,4,4"
0.361,"4,4,4"
0.362,"4,4,4"
0.363,"4,4,4"
0.364,"4,4,4"
0.365,"4,4,4"
0.366,"4,4,4"
0.367,"4,4,4"
0.368,"4,4,4"
0.369,"4,4,4"
0.370,"4,4,4"
0.371,"4,4,4"
0.372,"4,4,4"
0.373,"4,4,4"
0.374,"4,4,4"
0.375,"4,4,4"
0.376,"4,4,4"
0.377,"4,4,4"
0.378,"4,4,4"
0.379,"4,4,4"
0.380,"4,4,4"
0.381,"4,4,4"
0.382,"4,4,4"
0.383,"4,4,4"
0.384,"4,4,4"
0.385,"4,4,4"
0.386,"4,4,4"
0.387,"4,4,4"
0.388,"4,4,4"
0.389,"4,4,4"
0.390,"4,4,4"
0.391,"4,4,4"
0.392,"4,4,4"
0.393,"4,4,4"
0.394,"4,4,4"
0.395,"4,4,4"
0.396,"4,4,4"
0.397,"4,4,4"
0.398,"4,4,4"
0.399,"4,4,4"
0.400,"4,4,4"
0.401,"4,4,4"
0.402,"4,4,4"
0.403,"4,4,4"
0.404,"4,4,4"
0.405,"4,4,4"
0.406,"4,4,4"
0.407,"4,4,4"
0.408,"4,4,4"
0.409,"4,4,4"
0.410,"4,4,4"
0.411,"4,4,4"
0.412,"4,4,4"
0.413,"4,4,4"
0.414,"4,4,4"
0.415,"4,4,4"
0.416,"4,4,4"
0.417,"4,4,4"
0.418,"4,4,4"
0.419,"4,4,4"
0.420,"4,4,4"
0.421,"4,4,4"
0.422,"4,4,4"
0.423,"4,4,4"
0.424,"4,4,4"
0.425,"4,4,4"
0.426,"4,4,4"
0.427,"4,4,4"
0.428,"4,4,4"
0.429,"4,4,4"
0.430,"4,4,4"
0.431,"4,4,4"
0.432,"4,4,4"
0.433,"4,4,4"
0.434,"4,4,4"
0.435,"4,4,4"
0.436,"4,4,4"
0.437,"4,4,4"
0.438,"4,4,4"
0.439,"4,4,4"
0.440,"4,4,4"
0.441,"4,4,4"
0.442,"4,4,4"
0.443,"4,4,4"
0.444,"4,4,4"
0.445,"4,4,4"
0.446,"4,4,4"
0.447,"4,4,4"
0.448,"4,4,4"
0.449,"4,4,4"
0.450,"4,4,4"
0.451,"4,4,4"
0.452,"4,4,4"
0.453,"4,4,4"
0.454,"4,4,4"
0.455,"4,4,4"
0.456,"4,4,4"
0.457,"4,4,4"
0.458,"4,4,4"
0.459,"4,4,4"
0.460,"4,4,4"
0.461,"4,4,4"
0.462,"4,4,4"
0.463,"4,4,4"
0.464,"4,4,4"
0.465,"4,4,4"
0.466,"4,4,4"
0.467,"4,4,4"
0.468,"4,4,4"
0.469,"4,4,4"
0.470,"4,4,4"
0.471,"4,4,4"
0.472,"4,4,4"
0.473,"4,4,4"
0.474,"4,4,4"
0.475,"4,4,4"
0.476,"4,4,4"
0.477,"4,4,4"
0.478,"4,4,4"
0.479,"4,4,4"
0.480,"4,4,4"
0.481,"4,4,4"
0.482,"4,4,4"
0.483,"4,4,4"
0.484,"4,4,4"
0.485,"4,4,4"
0.486,"4,4,4"
0.487,"4,4,4"
0.488,"4,4,4"
0.489,"4,4,4"
0.490,"4,4,4"
0.491,"4,4,4"
0.492,"4,4,4"
0.493,"4,4,4"
0.494,"4,4,4"
0.495,"4,4,4"
0.496,"4,4,4"
0.497,"4,4,4"
0.498,"4,4,4"
0.499,"4,4,4"
0.500,"4,4,4"
0.501,"4,4,4"
0.502,"4,4,4"
0.503,"4,4,4"
0.504,"4,4,4"
0.505,"4,4,4"
0.506,"4,4,4"
0.507,"4,4,4"
0.508,"4,4,4"
0.509,"4,4,4"
0.510,"4,4,4"
0.511,"4,4,4"
0.512,"4,4,4"
0.513,"4,4,4"
0.514,"4,4,4"
0.515,"4,4,4"
0.516,"4,4,4"
0.517,"4,4,4"
0.518,"4,4,4"
0.519,"4,4,4"
0.520,"4,4,4"
0.521,"4,4,4"
0.522,"4,4,4"
0.523,"4,4,4"
0.524,"4,4,4"
0.525,"4,4,4"
0.526,"2,4,4"
0.527,"2,4,4"
0.528,"3,4,4"
0.529,"3,4,4"
0.530,"3,4,4"
0.531,"4,4,4"
0.532,"4,4,4"
0.533,"4,4,4"
0.534,"4,4,4"
0.535,"4,4,4"
0.536,"4,4,4"
0.537,"4,4,4"
0.538,"4,4,4"
0.539,"4,4,4"
0.540,"4,4,4"
0.541,"4,4,4"
0.542,"4,4,4"
0.543,"4,4,4"
0.544,"4,4,4"
0.545,"4,4,4"
0.546,"4,4,4"
0.547,"4,4,4"
0.548,"4,3,4"
0.549,"4,3,3"
0.550,"4,3,3"
0.551,"2,2,2"
0.552,"2,2,2"
0.553,"2,2,2"
0.554,"2,2,2"
0.555,"2,2,2"
0.556,"2,2,2"
0.557,"2,2,2"
0.558,"2,2,2"
0.559,"2,2,2"
0.560,"2,2,2"
0.561,"2,2,2"
0.562,"2,2,2"
0.563,"2,2,2"
0.564,"2,2,2"
0.565,"2,2,2"
0.566,"2,2,2"
0.567,"2,2,2"
0.568,"2,2,2"
0.569,"2,2,2"
0.570,"2,2,2"
0.571,"2,2,2"
0.572,"2,2,2"
0.573,"2,2,2"
0.574,"2,2,2"
0.575,"2,2,2"
0.576,"2,2,2"
0.577,"2,2,2"
0.578,"2,2,2"
0.579,"2,2,2"
0.580,"2,2,2"
0.581,"2,2,2"
0.582,"2,2,2"
0.583,"2,2,2"
0.584,"2,2,2"
0.585,"2,1,2"
0.586,"2,1,1"
0.587,"2,1,1"
0.588,"1,1,1"
0.589,"1,1,1"
0.590,"1,1,1"
0.591,"1,1,1"
0.592,"1,1,1"
0.593,"1,1,1"
0.594,"1,1,1"
0.595,"1,1,1"
0.596,"1,1,1"
0.597,"1,1,1"
0.598,"1,1,1"
0.599,"1,1,1"
0.600,"1,1,1"
0.601,"1,1,1"
0.602,"1,1,1"
0.603,"1,1,1"
0.604,"1,1,1"
0.605,"1,1,1"
0.606,"1,1,1"
0.607,"1,1,1"
0.608,"1,1,1"
0.609,"1,1,1"
0.610,"1,1,1"
0.611,"1,1,1"
0.612,"1,1,1"
0.613,"1,1,1"
0.614,"1,1,1"
0.615,"1,1,1"
0.616,"1,1,1"
0.617,"1,1,1"
0.618,"1,1,1"
0.619,"1,1,1"
0.620,"1,1,1"
0.621,"1,1,1"
0.622,"1,1,1"
0.623,"1,1,1"
0.624,"1,1,1"
0.625,"1,1,1"
0.626,"1,1,1"
0.627,"1,1,1"
0.628,"1,1,1"
0.629,"1,1,1"
0.630,"1,1,1"
0.631,"1,1,1"
0.632,"1,1,1"
0.633,"1,1,1"
0.634,"1,1,1"
0.635,"1,1,1"
0.636,"1,1,1"
0.637,"1,1,1"
0.638,"1,1,1"
0.639,"1,1,1"
0.640,"1,1,1"
0.641,"1,1,1"
0.642,"1,1,1"
0.643,"1,1,1"
0.644,"1,1,1"
0.645,"1,1,1"
0.646,"1,1,1"
0.647,"1,1,1"
0.648,"1,1,1"
0.649,"1,1,1"
0.650,"1,1,1"
0.651,"1,1,1"
0.652,"1,1,1"
0.653,"1,1,1"
0.654,"1,1,1"
0.655,"1,1,1"
0.656,"1,1,1"
0.657,"1,1,1"
0.658,"1,1,1"
0.659,"1,1,1"
0.660,"1,1,1"
0.661,"1,1,1"
0.662,"1,1,1"
0.663,"1,1,1"
0.664,"1,1,1"
0.665,"1,1,1"
0.666,"1,1,1"
0.667,"1,1,1"
0.668,"1,1,1"
0.669,"1,1,1"
0.670,"1,1,1"
0.671,"1,1,1"
0.672,"1,1,1"
0.673,"1,1,1"
0.674,"1,1,1"
0.675,"1,1,1"
0.676,"1,1,1"
0.677,"1,1,1"
0.678,"1,1,1"
0.679,"1,1,1"
0.680,"1,1,1"
0.681,"1,1,1"
0.682,"1,1,1"
0.683,"1,1,1"
0.684,"1,1,1"
0.685,"1,1,1"
0.686,"1,1,1"
0.687,"1,1,1"
0.688,"1,1,1"
0.689,"1,1,1"
0.690,"1,1,1"
0.691,"1,1,1"
0.692,"1,1,1"
0.693,"1,1,1"
0.694,"1,1,1"
0.695,"1,1,1"
0.696,"1,1,1"
0.697,"1,1,1"
0.698,"1,1,1"
0.699,"1,1,1"
0.700,"1,1,1"
0.701,"1,1,1"
0.702,"1,1,1"
0.703,"1,1,1"
0.704,"1,1,1"
0.705,"1,1,1"
0.706,"1,1,1"
0.707,"1,1,1"
0.708,"1,1,1"
0.709,"1,1,1"
0.710,"1,1,1"
0.711,"1,1,1"
0.712,"1,1,1"
0.713,"1,1,1"
0.714,"1,1,1"
0.715,"1,1,1"
0.716,"1,1,1"
0.717,"1,1,1"
0.718,"1,1,1"
0.719,"1,1,1"
0.720,"1,1,1"
0.721,"1,1,1"
0.722,"1,1,1"
0.723,"1,1,1"
0.724,"1,1,1"
0.725,"1,1,1"
0.726,"1,1,1"
0.727,"1,1,1"
0.728,"1,1,1"
0.729,"1,1,1"
0.730,"1,1,1"
0.731,"1,1,1"
0.732,"1,1,1"
0.733,"1,1,1"
0.734,"1,1,1"
0.735,"1,1,1"
0.736,"1,1,1"
0.737,"1,1,1"
0.738,"1,1,1"
0.739,"1,1,1"
0.740,"1,1,1"
0.741,"1,1,1"
0.742,"1,1,1"
0.743,"1,1,1"
0.744,"1,1,1"
0.745,"1,1,1"
0.746,"1,1,1"
0.747,"1,1,1"
0.748,"1,1,1"
0.749,"1,1,1"
0.750,"1,1,1"
0.751,"1,1,1"
0.752,"1,1,1"
0.753,"1,1,1"
0.754,"1,1,1"
0.755,"1,1,1"
0.756,"1,1,1"
0.757,"1,1,1"
0.758,"1,1,1"
0.759,"1,1,1"
0.760,"1,1,1"
0.761,"1,1,1"
0.762,"1,1,1"
0.763,"1,1,1"
0.764,"1,1,1"
0.765,"1,1,1"
0.766,"1,1,1"
0.767,"1,1,1"
0.768,"1,1,1"
0.769,"1,1,1"
0.770,"1,1,1"
0.771,"1,1,1"
0.772,"1,1,1"
0.773,"1,1,1"
0.774,"1,1,1"
0.775,"1,1,1"
0.776,"1,1,1"
0.777,"1,1,1"
0.778,"1,1,1"
0.779,"1,1,1"
0.780,"1,1,1"
0.781,"1,1,1"
0.782,"1,1,1"
0.783,"1,1,1"
0.784,"1,1,1"
0.785,"1,1,1"
0.786,"1,1,1"
0.787,"1,1,1"
0.788,"1,1,1"
0.789,"1,1,1"
0.790,"1,1,1"
0.791,"1,1,1"
0.792,"1,1,1"
0.793,"1,1,1"
0.794,"1,1,1"
0.795,"1,1,1"
0.796,"1,1,1"
0.797,"1,1,1"
0.798,"1,1,1"
0.799,"1,1,1"
0.800,"1,1,1"
0.801,"1,1,1"
0.802,"1,1,1"
0.803,"1,1,1"
0.804,"1,1,1"
0.805,"1,1,1"
0.806,"1,1,1"
0.807,"1,1,1"
0.808,"1,2,2"
0.809,"1,2,2"
0.810,"2,2,2"
0.811,"2,2,2"
0.812,"2,2,2"
0.813,"2,2,2"
0.814,"2,2,2"
0.815,"2,2,2"
0.816,"2,2,2"
0.817,"2,2,2"
0.818,"2,2,2"
0.819,"2,2,2"
0.820,"2,2,2"
0.821,"2,2,2"
0.822,"2,2,2"
0.823,"2,2,2"
0.824,"2,2,2"
0.825,"2,2,2"
0.826,"2,2,2"
0.827,"2,2,2"
0.828,"2,2,2"
0.829,"2,2,2"
0.830,"2,2,2"
0.831,"2,2,2"
0.832,"2,2,2"
0.833,"2,2,2"
0.834,"2,2,2"
0.835,"2,2,2"
0.836,"2,2,2"
0.837,"2,2,2"
0.838,"2,2,2"
0.839,"2,2,2"
0.840,"2,2,2"
0.841,"2,2,2"
0.842,"2,2,2"
0.843,"2,2,2"
0.844,"2,2,2"
0.845,"2,2,2"
0.846,"2,2,2"
0.847,"2,2,2"
0.848,"2,2,2"
0.849,"2,2,2"
0.850,"2,2,2"
0.851,"1,1,1"
0.852,"1,1,1"
0.853,"1,1,1"
0.854,"1,1,1"
0.855,"1,1,1"
0.856,"1,1,1"
0.857,"1,1,1"
0.858,"1,1,1"
0.859,"1,1,1"
0.860,"1,1,1"
0.861,"1,1,1"
0.862,"1,1,1"
0.863,"1,1,1"
0.864,"1,1,1"
0.865,"1,1,1"
0.866,"1,1,1"
0.867,"1,1,1"
0.868,"1,1,1"
0.869,"1,1,1"
0.870,"1,1,1"
0.871,"1,1,1"
0.872,"1,1,1"
0.873,"1,1,1"
0.874,"1,1,1"
0.875,"1,1,1"
0.876,"1,1,1"
0.877,"1,1,1"
0.878,"1,1,1"
0.879,"1,1,1"
0.880,"1,1,1"
0.881,"1,1,1"
0.882,"1,1,1"
0.883,"1,1,1"
0.884,"2,2,2"
0.885,"2,2,2"
0.886,"2,2,2"
0.887,"2,2,2"
0.888,"2,2,2"
0.889,"2,2,2"
0.890,"1,2,2"
0.891,"1,1,1"
0.892,"1,1,1"
0.893,"1,1,1"
0.894,"1,1,1"
0.895,"1,1,1"
0.896,"1,1,1"
0.897,"1,1,1"
0.898,"1,1,1"
0.899,"1,1,1"
0.900,"1,1,1"
0.901,"1,1,1"
0.902,"1,1,1"
0.903,"1,1,1"
0.904,"1,1,1"
0.905,"1,1,1"
0.906,"1,1,1"
0.907,"1,1,1"
0.908,"1,1,1"
0.909,"1,1,1"
0.910,"1,1,1"
0.911,"1,1,1"
0.912,"1,1,1"
0.913,"1,1,1"
0.914,"1,1,1"
0.915,"1,1,1"
0.916,"1,1,1"
0.917,"1,1,1"
0.918,"1,1,1"
0.919,"1,1,1"
0.920,"1,1,1"
0.921,"1,1,1"
0.922,"1,1,1"
0.923,"1,1,1"
0.924,"1,1,1"
0.925,"1,1,1"
0.926,"1,1,1"
0.927,"1,1,1"
0.928,"1,1,1"
0.929,"1,1,1"
0.930,"1,1,1"
0.931,"1,1,1"
0.932,"1,1,1"
0.933,"1,1,1"
0.934,"1,1,1"
0.935,"1,1,1"
0.936,"1,1,1"
0.937,"1,1,1"
0.938,"1,1,1"
0.939,"1,1,1"
0.940,"1,1,1"
0.941,"1,1,1"
0.942,"1,1,1"
0.943,"1,1,1"
0.944,"1,1,1"
0.945,"1,1,1"
0.946,"1,1,1"
0.947,"1,1,1"
0.948,"1,1,1"
0.949,"1,1,1"
0.950,"1,1,1"
0.951,"1,1,1"
0.952,"2,2,2"
0.953,"2,2,2"
0.954,"2,2,2"
0.955,"2,2,2"
0.956,"2,2,2"
0.957,"2,2,2"
0.958,"2,2,2"
0.959,"2,2,2"
0.960,"2,2,2"
0.961,"2,2,2"
0.962,"2,2,2"
0.963,"2,2,2"
0.964,"4,4,4"
0.965,"4,4,4"
0.966,"4,4,4"
0.967,"4,4,4"
0.968,"4,4,4"
0.969,"4,4,4"
0.970,"4,4,4"
0.971,"4,4,4"
0.972,"4,4,4"
0.973,"4,4,4"
0.974,"4,4,4"
0.975,"4,4,4"
0.976,"4,4,4"
0.977,"4,4,4"
0.978,"4,4,4"
0.979,"4,4,4"
0.980,"4,4,4"
0.981,"4,4,4"
0.982,"4,4,4"
0.983,"4,4,4"
0.984,"4,4,4"
0.985,"4,4,4"
0.986,"4,4,4"
0.987,"4,4,4"
0.988,"4,4,4"
0.989,"4,4,4"
0.990,"4,4,4"
0.991,"4,4,4"
0.992,"4,4,4"
0.993,"4,4,4"
0.994,"7,7,7"
0.995,"7,7,7"
0.996,"7,7,7"
0.997,"7,7,7"
0.998,"7,7,7"
0.999,"7,7,7"
1.000,"9,9,9"
