Bezeichnung;Value for threshold delta;principles_fulfilled
CATEGORIZER mit Epsilon=0.00010;0.00260;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00270;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00280;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00290;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00300;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00310;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00320;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00330;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00340;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00350;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00360;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00370;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00380;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00390;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00400;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00410;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00420;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00430;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00440;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00450;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00460;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00470;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00480;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00490;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00500;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00510;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00520;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00530;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00540;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00550;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00560;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00570;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00580;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00590;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00600;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00610;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00620;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00630;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00640;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00650;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00660;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00670;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00680;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00690;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00700;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00710;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00720;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00730;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00740;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00750;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00760;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00770;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00780;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00790;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00800;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00810;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00820;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00830;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00840;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00850;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00860;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00870;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00880;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00890;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00900;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00910;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00920;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00930;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00940;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00950;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00960;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00970;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00980;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00990;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01000;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01010;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01020;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01030;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01040;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01050;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01060;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01070;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01080;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01090;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01100;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01110;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01120;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01130;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01140;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01150;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01160;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01170;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01180;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01190;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01200;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01210;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01220;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01230;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01240;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01250;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01260;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01270;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01280;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01290;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01300;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01310;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01320;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01330;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01340;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01350;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01360;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01370;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01380;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01390;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01400;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01410;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01420;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01430;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01440;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01450;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01460;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01470;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01480;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01490;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01500;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01510;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01520;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01530;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01540;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01550;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01560;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01570;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01580;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01590;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01600;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01610;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01620;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01630;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01640;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01650;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01660;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01670;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01680;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01690;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01700;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01710;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01720;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01730;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01740;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01750;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01760;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01770;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01780;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01790;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.01800;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
