Value for threshold delta,"COUNTING mit Epsilon=0.01,COUNTING mit Epsilon=0.001,COUNTING mit Epsilon=0.00010,COUNTING mit Epsilon=0.000010"
0.395,"4,4,4,4"
0.396,"4,4,4,4"
0.397,"4,4,4,4"
0.398,"4,4,4,4"
0.399,"4,4,4,4"
0.400,"4,4,4,4"
0.401,"4,4,4,4"
0.402,"4,4,4,4"
0.403,"4,4,4,4"
0.404,"4,4,4,4"
0.405,"4,4,4,4"
0.406,"4,4,4,4"
0.407,"4,4,4,4"
0.408,"4,4,4,4"
0.409,"4,4,4,4"
0.410,"4,4,4,4"
0.411,"4,4,4,4"
0.412,"4,4,4,4"
0.413,"4,4,4,4"
0.414,"4,4,4,4"
0.415,"4,4,4,4"
0.416,"4,4,4,4"
0.417,"4,4,4,4"
0.418,"4,4,4,4"
0.419,"4,4,4,4"
0.420,"4,4,4,4"
0.421,"4,4,4,4"
0.422,"4,4,4,4"
0.423,"4,4,4,4"
0.424,"4,4,4,4"
0.425,"4,4,4,4"
0.426,"4,4,4,4"
0.427,"4,4,4,4"
0.428,"4,4,4,4"
0.429,"4,4,4,4"
0.430,"4,4,4,4"
0.431,"4,4,4,4"
0.432,"4,6,4,4"
0.433,"4,4,4,4"
0.434,"4,4,4,4"
0.435,"4,4,4,4"
0.436,"4,4,4,4"
0.437,"4,4,4,4"
0.438,"4,4,4,4"
0.439,"4,4,4,4"
0.440,"4,4,4,4"
0.441,"4,4,4,4"
0.442,"4,4,4,4"
0.443,"4,4,4,4"
0.444,"4,4,4,4"
0.445,"4,4,4,4"
0.446,"4,4,4,4"
0.447,"4,4,4,4"
0.448,"4,4,4,4"
0.449,"4,4,4,4"
0.450,"4,4,4,4"
0.451,"4,4,4,4"
0.452,"4,4,4,4"
0.453,"4,4,4,4"
0.454,"4,4,4,4"
0.455,"4,4,4,4"
0.456,"4,4,4,4"
0.457,"4,4,4,4"
0.458,"4,4,4,4"
0.459,"4,4,4,4"
0.460,"4,4,4,4"
0.461,"4,4,4,4"
0.462,"4,4,4,4"
0.463,"4,4,4,4"
0.464,"4,4,4,4"
0.465,"4,4,4,4"
0.466,"4,4,4,4"
0.467,"4,4,4,4"
0.468,"4,4,4,4"
0.469,"4,4,4,4"
0.470,"4,4,4,4"
0.471,"4,4,4,4"
0.472,"4,4,4,4"
0.473,"4,4,4,4"
0.474,"4,4,4,4"
0.475,"4,4,4,4"
0.476,"4,4,4,4"
0.477,"4,4,4,4"
0.478,"4,4,4,4"
0.479,"4,4,4,4"
0.480,"4,4,4,4"
0.481,"4,4,4,4"
0.482,"4,4,4,4"
0.483,"4,4,4,4"
0.484,"4,4,4,4"
0.485,"4,4,4,4"
0.486,"4,4,4,4"
0.487,"4,4,4,4"
0.488,"4,4,4,4"
0.489,"4,4,4,4"
0.490,"4,4,4,4"
0.491,"4,4,4,4"
0.492,"4,4,4,4"
0.493,"4,4,4,4"
0.494,"4,4,4,4"
0.495,"4,4,4,4"
0.496,"4,4,4,4"
0.497,"4,4,4,4"
0.498,"4,4,4,4"
0.499,"4,4,4,4"
0.500,"4,4,4,4"
0.501,"4,4,4,4"
0.502,"4,4,4,4"
0.503,"4,4,4,4"
0.504,"4,4,4,4"
0.505,"4,4,4,4"
0.506,"4,4,4,4"
0.507,"4,4,4,4"
0.508,"4,4,4,4"
0.509,"4,4,4,4"
0.510,"4,4,4,4"
0.511,"4,4,4,4"
0.512,"4,4,4,4"
0.513,"4,4,4,4"
0.514,"4,4,4,4"
0.515,"4,4,4,4"
0.516,"4,4,4,4"
0.517,"4,4,4,4"
0.518,"4,4,4,4"
0.519,"4,4,4,4"
0.520,"4,4,4,4"
0.521,"4,4,4,4"
0.522,"4,4,4,4"
0.523,"4,4,4,4"
0.524,"4,4,4,4"
0.525,"4,4,4,4"
0.526,"4,4,4,4"
0.527,"4,4,4,4"
0.528,"4,4,4,4"
0.529,"4,4,4,4"
0.530,"4,4,4,4"
0.531,"4,4,4,4"
0.532,"4,4,4,4"
0.533,"4,4,4,4"
0.534,"4,4,4,4"
0.535,"4,4,4,2"
0.536,"4,4,4,4"
0.537,"4,2,4,4"
0.538,"4,2,3,4"
0.539,"4,2,2,4"
0.540,"4,4,4,4"
0.541,"4,4,4,4"
0.542,"4,4,3,4"
0.543,"3,4,2,4"
0.544,"4,3,2,4"
0.545,"3,3,2,4"
0.546,"4,2,2,4"
0.547,"3,2,1,4"
0.548,"4,3,4,3"
0.549,"4,3,4,3"
0.550,"4,2,2,3"
0.551,"4,2,2,3"
0.552,"4,3,2,2"
0.553,"4,3,2,2"
0.554,"4,2,1,2"
0.555,"4,2,2,2"
0.556,"4,3,2,3"
0.557,"4,2,3,2"
0.558,"4,2,2,2"
0.559,"4,3,2,2"
0.560,"4,2,2,3"
0.561,"2,2,2,2"
0.562,"2,2,2,1"
0.563,"4,2,2,4"
0.564,"4,2,2,4"
0.565,"2,2,2,2"
0.566,"2,2,2,2"
0.567,"4,1,2,2"
0.568,"4,2,2,1"
0.569,"4,2,2,2"
0.570,"4,1,2,4"
0.571,"4,2,2,4"
0.572,"4,1,2,4"
0.573,"4,2,2,4"
0.574,"3,2,2,4"
0.575,"2,2,2,4"
0.576,"2,2,2,4"
0.577,"3,2,2,2"
0.578,"2,2,2,2"
0.579,"3,2,2,4"
0.580,"3,1,2,4"
0.581,"3,2,2,3"
0.582,"2,2,2,3"
0.583,"3,2,2,3"
0.584,"3,2,2,3"
0.585,"3,2,2,3"
0.586,"3,2,2,2"
0.587,"3,2,1,2"
0.588,"3,2,2,2"
0.589,"3,2,2,3"
0.590,"2,2,2,2"
0.591,"2,2,2,1"
0.592,"1,2,2,1"
0.593,"1,2,2,2"
0.594,"2,2,2,2"
0.595,"2,2,1,1"
0.596,"2,2,2,1"
0.597,"1,2,2,2"
0.598,"1,1,2,2"
0.599,"1,2,2,1"
0.600,"2,2,2,1"
0.601,"1,2,2,3"
0.602,"1,2,2,3"
0.603,"1,2,1,2"
0.604,"2,2,1,2"
0.605,"2,1,1,4"
0.606,"2,2,2,3"
0.607,"2,1,2,3"
0.608,"2,3,2,3"
0.609,"2,2,2,3"
0.610,"2,2,2,3"
0.611,"2,1,2,3"
0.612,"2,2,1,3"
0.613,"2,1,1,3"
0.614,"2,2,1,3"
0.615,"2,1,2,3"
0.616,"2,2,2,3"
0.617,"2,2,2,3"
0.618,"2,2,2,1"
0.619,"2,1,1,1"
0.620,"1,2,1,1"
0.621,"1,2,2,1"
0.622,"1,1,1,2"
0.623,"2,1,2,2"
0.624,"2,2,1,2"
0.625,"1,1,1,2"
0.626,"1,2,1,2"
0.627,"1,1,1,1"
0.628,"1,2,1,1"
0.629,"1,1,2,1"
0.630,"1,1,1,2"
0.631,"1,1,1,2"
0.632,"1,1,2,2"
0.633,"1,1,2,2"
0.634,"1,2,1,3"
0.635,"1,1,1,3"
0.636,"1,2,1,2"
0.637,"1,1,1,2"
0.638,"1,1,1,3"
0.639,"1,1,1,3"
0.640,"1,1,1,2"
0.641,"2,1,1,2"
0.642,"2,1,1,3"
0.643,"1,1,1,3"
0.644,"1,1,1,2"
0.645,"1,1,1,3"
0.646,"1,1,1,3"
0.647,"1,1,1,3"
0.648,"1,1,1,3"
0.649,"1,1,2,2"
0.650,"1,1,1,4"
0.651,"1,1,1,1"
0.652,"1,1,1,1"
0.653,"1,1,1,1"
0.654,"1,1,1,2"
0.655,"1,1,1,1"
0.656,"2,1,1,1"
0.657,"1,1,1,1"
0.658,"1,1,1,3"
0.659,"1,1,1,1"
0.660,"1,1,1,1"
0.661,"1,1,1,1"
0.662,"1,1,2,1"
0.663,"1,1,1,1"
0.664,"1,1,2,2"
0.665,"1,1,2,1"
0.666,"1,1,2,3"
0.667,"1,1,1,2"
0.668,"1,1,1,2"
0.669,"1,1,1,1"
0.670,"1,1,1,2"
0.671,"1,1,1,3"
0.672,"1,1,1,2"
0.673,"2,1,1,2"
0.674,"1,2,1,2"
0.675,"1,1,1,3"
0.676,"1,1,1,2"
0.677,"1,1,1,2"
0.678,"1,1,1,2"
0.679,"1,1,1,3"
0.680,"1,1,1,3"
0.681,"1,1,1,4"
0.682,"1,2,1,2"
0.683,"1,1,1,2"
0.684,"1,1,1,1"
0.685,"1,1,1,1"
0.686,"1,1,1,1"
0.687,"1,1,1,2"
0.688,"1,2,1,1"
0.689,"2,1,1,2"
0.690,"1,2,1,1"
0.691,"1,2,1,1"
0.692,"2,1,1,1"
0.693,"2,1,1,1"
0.694,"1,1,1,1"
0.695,"1,1,1,1"
0.696,"1,1,1,1"
0.697,"1,1,1,3"
0.698,"1,1,1,1"
0.699,"1,1,1,1"
0.700,"1,1,1,2"
0.701,"1,1,1,4"
0.702,"1,1,1,4"
0.703,"1,1,1,3"
0.704,"3,1,1,4"
0.705,"2,1,1,3"
0.706,"2,1,1,3"
0.707,"2,1,1,2"
0.708,"2,1,1,3"
0.709,"2,1,1,3"
0.710,"2,1,1,2"
0.711,"2,1,1,2"
0.712,"2,1,1,5"
0.713,"1,1,1,3"
0.714,"1,1,1,2"
0.715,"1,1,1,2"
0.716,"1,1,1,3"
0.717,"1,1,1,2"
0.718,"1,1,1,1"
0.719,"1,1,1,1"
0.720,"1,1,1,3"
0.721,"2,1,1,4"
0.722,"1,1,1,2"
0.723,"1,1,1,2"
0.724,"1,1,1,1"
0.725,"1,1,1,1"
0.726,"1,1,1,1"
0.727,"1,1,1,1"
0.728,"1,1,1,2"
0.729,"1,1,1,3"
0.730,"1,1,1,2"
0.731,"1,1,1,2"
0.732,"1,1,1,3"
0.733,"1,1,1,1"
0.734,"1,1,1,1"
0.735,"1,1,1,1"
0.736,"1,1,1,1"
0.737,"1,1,1,1"
0.738,"1,1,2,1"
0.739,"1,1,1,1"
0.740,"1,1,1,1"
0.741,"1,1,1,1"
0.742,"2,1,1,1"
0.743,"1,2,1,1"
0.744,"1,1,1,1"
0.745,"1,1,1,1"
0.746,"2,1,1,1"
0.747,"1,1,1,1"
0.748,"1,1,1,1"
0.749,"1,1,1,2"
0.750,"1,1,3,1"
0.751,"2,2,1,1"
0.752,"2,1,1,1"
0.753,"2,1,1,1"
0.754,"2,2,1,1"
0.755,"1,2,1,1"
0.756,"1,2,1,1"
0.757,"1,2,1,1"
0.758,"1,2,1,1"
0.759,"1,4,1,1"
0.760,"1,1,1,1"
0.761,"1,1,1,1"
0.762,"1,1,1,2"
0.763,"1,1,1,2"
0.764,"1,2,1,2"
0.765,"1,1,1,1"
0.766,"1,1,1,1"
0.767,"1,3,1,1"
0.768,"1,5,1,1"
0.769,"1,2,1,1"
0.770,"3,1,1,1"
0.771,"1,2,1,1"
0.772,"1,1,1,2"
0.773,"1,1,1,2"
0.774,"1,1,1,1"
0.775,"1,1,1,1"
0.776,"1,1,1,1"
0.777,"1,1,1,1"
0.778,"1,1,1,1"
0.779,"1,2,1,1"
0.780,"2,1,1,2"
0.781,"1,1,2,3"
0.782,"1,1,2,1"
0.783,"1,1,2,1"
0.784,"2,1,1,2"
0.785,"1,1,1,4"
0.786,"5,1,1,1"
0.787,"4,1,1,1"
0.788,"3,1,1,1"
0.789,"1,1,2,1"
0.790,"1,1,1,1"
0.791,"1,1,2,1"
0.792,"1,1,1,1"
0.793,"1,1,1,1"
0.794,"1,1,1,1"
0.795,"3,1,1,2"
0.796,"3,1,1,3"
0.797,"1,1,1,3"
0.798,"1,1,1,1"
0.799,"1,1,1,1"
0.800,"1,3,1,1"
0.801,"1,3,1,1"
0.802,"1,1,2,1"
0.803,"2,1,2,1"
0.804,"1,1,4,1"
0.805,"1,1,2,1"
0.806,"1,1,2,1"
0.807,"1,1,2,1"
0.808,"1,1,1,1"
0.809,"1,1,1,1"
0.810,"1,1,1,1"
0.811,"3,1,1,1"
0.812,"2,1,1,2"
0.813,"2,1,2,1"
0.814,"2,1,1,3"
0.815,"2,1,1,1"
0.816,"2,1,3,4"
0.817,"3,1,3,1"
0.818,"3,3,3,3"
0.819,"5,1,3,3"
0.820,"7,1,3,3"
0.821,"4,1,3,1"
0.822,"4,1,3,2"
0.823,"4,1,3,2"
0.824,"4,1,3,3"
0.825,"4,1,3,1"
0.826,"4,1,3,1"
0.827,"8,2,3,1"
0.828,"4,2,3,3"
0.829,"4,1,3,2"
0.830,"4,1,3,2"
0.831,"4,2,3,3"
0.832,"4,2,3,1"
0.833,"4,5,3,1"
0.834,"4,3,3,1"
0.835,"4,3,4,7"
0.836,"4,3,3,2"
0.837,"4,3,3,2"
0.838,"4,3,3,2"
0.839,"3,3,4,1"
0.840,"7,3,4,1"
0.841,"7,3,3,1"
0.842,"7,3,3,1"
0.843,"7,4,4,1"
0.844,"4,4,4,3"
0.845,"7,4,3,3"
0.846,"7,4,3,4"
0.847,"7,4,5,3"
0.848,"7,4,5,4"
0.849,"7,4,5,4"
0.850,"7,4,5,4"
0.851,"7,3,3,7"
0.852,"5,3,3,11"
0.853,"5,3,3,11"
0.854,"5,3,4,11"
0.855,"5,3,3,5"
0.856,"5,3,3,4"
0.857,"5,3,3,3"
0.858,"5,3,4,3"
0.859,"5,4,4,7"
0.860,"5,5,4,9"
0.861,"5,3,4,9"
0.862,"5,5,4,9"
0.863,"5,3,4,9"
0.864,"5,5,4,5"
0.865,"5,5,4,4"
0.866,"5,5,4,4"
0.867,"5,7,3,4"
0.868,"5,11,3,4"
0.869,"8,11,5,4"
0.870,"7,11,4,4"
0.871,"7,11,5,4"
0.872,"7,11,3,4"
0.873,"8,11,5,4"
0.874,"7,11,5,4"
0.875,"7,4,7,7"
0.876,"7,4,7,4"
0.877,"7,4,7,7"
0.878,"7,4,5,7"
0.879,"7,7,7,7"
0.880,"7,4,7,5"
0.881,"7,7,7,5"
0.882,"7,11,7,5"
0.883,"7,11,7,5"
0.884,"7,11,4,5"
0.885,"7,11,5,5"
0.886,"7,11,7,5"
0.887,"7,11,7,5"
0.888,"7,11,5,5"
0.889,"7,11,5,5"
0.890,"7,11,5,7"
0.891,"7,11,7,5"
0.892,"13,7,5,7"
0.893,"5,11,5,7"
0.894,"5,7,7,7"
0.895,"5,13,7,7"
0.896,"5,7,5,7"
0.897,"5,11,5,7"
0.898,"5,11,7,7"
0.899,"5,11,7,5"
0.900,"5,7,5,5"
0.901,"5,7,5,7"
0.902,"7,7,7,7"
0.903,"7,7,7,7"
0.904,"11,7,5,7"
0.905,"11,7,7,7"
0.906,"7,7,7,13"
0.907,"7,7,7,7"
0.908,"13,5,5,13"
0.909,"8,5,7,7"
0.910,"7,5,7,7"
0.911,"7,7,7,7"
0.912,"7,5,7,7"
0.913,"11,7,7,7"
0.914,"7,5,12,7"
0.915,"9,7,11,7"
0.916,"7,7,13,7"
0.917,"13,7,11,7"
0.918,"8,7,11,7"
0.919,"8,7,11,7"
0.920,"7,8,13,7"
0.921,"8,7,11,7"
0.922,"8,8,11,7"
0.923,"8,7,7,7"
0.924,"8,8,13,13"
0.925,"9,7,13,13"
0.926,"8,8,13,7"
0.927,"8,7,13,12"
0.928,"8,13,13,13"
0.929,"8,7,13,8"
0.930,"8,8,13,8"
0.931,"8,7,13,7"
0.932,"8,8,13,7"
0.933,"9,7,11,7"
0.934,"8,7,11,8"
0.935,"8,11,13,8"
0.936,"8,11,13,7"
0.937,"8,7,13,8"
0.938,"8,7,13,13"
0.939,"8,13,8,13"
0.940,"9,13,8,13"
0.941,"9,8,13,13"
0.942,"8,8,13,13"
0.943,"8,8,13,13"
0.944,"8,8,13,13"
0.945,"8,8,13,13"
0.946,"8,8,13,8"
0.947,"8,9,8,9"
0.948,"9,13,8,8"
0.949,"9,8,8,9"
0.950,"13,8,8,8"
0.951,"13,8,8,9"
0.952,"13,13,8,8"
0.953,"13,9,8,9"
0.954,"13,9,8,9"
0.955,"13,9,8,13"
0.956,"13,13,8,13"
0.957,"13,8,8,13"
0.958,"8,8,8,13"
0.959,"8,8,8,13"
0.960,"8,9,8,13"
0.961,"8,9,8,13"
0.962,"8,9,8,13"
0.963,"13,9,13,13"
0.964,"13,13,8,13"
0.965,"13,13,8,13"
0.966,"13,13,8,13"
0.967,"13,13,8,13"
0.968,"13,13,8,13"
0.969,"13,13,8,13"
0.970,"13,13,9,13"
0.971,"13,13,9,13"
0.972,"13,13,8,13"
0.973,"13,8,8,13"
0.974,"13,8,8,13"
0.975,"8,8,8,13"
0.976,"8,8,8,13"
0.977,"8,8,8,13"
0.978,"8,13,9,13"
0.979,"13,13,9,13"
0.980,"13,13,13,13"
0.981,"13,8,13,13"
0.982,"13,8,13,13"
0.983,"8,13,13,13"
0.984,"8,8,13,13"
0.985,"8,13,13,13"
0.986,"8,13,13,13"
0.987,"8,13,13,13"
